entry,status,file,size,method,oracle
0x8c09d690,ported,src/fight/mt_play.c,390,transliteration,tests/mt_vm_interp.c PASS
0x8c034864,ported,src/sys/mainloop.c,326,transliteration,tests/mainloop_replay.c PASS
0x8c043018,ported,src/lib/sh4rt.c,74,byte-exact,tests/libutil_replay.c PASS
0x8c042fdc,ported,src/lib/sh4rt.c,60,byte-exact,tests/libutil_replay.c PASS
0x8c03f5b2,ported-alias,src/lib/sh4rt.c,24,byte-exact,tests/libutil_replay.c PASS
0x8c03482a,ported,src/lib/sh4rt.c,30,transliteration,tests/libutil_replay.c PASS
0x8c0355a0,ported,src/sys/taskvm.c,42,transliteration,tests/taskvm_replay.c PASS
0x8c035a4e,ported,src/sys/taskvm.c,84,transliteration,tests/taskvm_replay.c PASS
0x8c035628,ported,src/sys/taskvm.c,76,transliteration,tests/taskvm_replay.c PASS
0x8c0355ca,ported,src/sys/taskvm.c,26,transliteration,tests/taskvm_replay.c PASS
0x8c0355f4,ported,src/sys/taskvm.c,26,transliteration,tests/taskvm_replay.c PASS
0x8c03560e,ported,src/sys/taskvm.c,26,transliteration,tests/taskvm_replay.c PASS
0x8c0b1a54,ported,src/fight/walker.c,184,transliteration,tests/walker_replay.c PASS
0x8c0796f4,ported-stub,src/fight/walker.c,0,structural-model,trace vf3_7 watch pending
0x8c034852,ported-alias,src/sys/mainloop.c,0,transliteration,tests/mainloop_replay.c PASS
0x8c068f92,ported,src/fight/orient2.c,54,oracle-verified,tests/orient2_replay.c 64/64 golden PASS
0x8c068ff6,ported,src/fight/poly_classify.c,288,oracle-verified,tests/poly_classify_replay.c 16/16 RAM cases PASS
0x8c071a76,ported,src/fight/vecpush.c,66,oracle-verified-piecewise,tests/vecpush_replay.c 7/7 cases PASS (entry->0x8C071ABE)
0x8c068e16,ported-piecewise,src/fight/scalemap.c,352,oracle-verified (RAM shadow diff),vf3scalemap 32/32 PASS
0x8c092f12,ported,src/fight/tailcall.c,10,oracle-verified,tailcall_replay 8/8 PASS
0x8c092abe,ported,src/fight/tailcall.c,24,oracle-verified,tailcall_abe_replay 8/8 PASS
0x8c0748c0,ported-piecewise,src/fight/walker2.c,32,oracle-verified-gate-only (RAM shadow diff),walker_gate_replay 8/8 PASS; walker bsr 0x8C0748E0 calls out of scope (data OOB in all windows)
0x8c0930b6,ported,src/fight/fvecadd.c,30,oracle-verified (RAM shadow diff),fvecadd_replay 8/8 PASS
0x8c092bc6,ported,src/fight/scaler3.c,76,oracle-verified (RAM shadow diff),scaler3_replay 8/8 PASS
0x8c0c2b80,ported-piecewise,src/fight/frameseq.c,50,oracle-verified (RAM shadow diff),frameseq_replay 8/8 PASS; 6-callee call chain out of scope (chain-owned exit state, windows byte-identical entry->exit)
0x8c08b7ee,ported-piecewise,src/fight/cntup.c,68,oracle-verified (RAM shadow diff),"cntup_replay 8/8 PASS (70 pairs / 8 RAM cases, 10-window goldens_b7, 9 checked via nowin3 derived cases; own guards + callee-1 0x8C08B89C ladder modeled with private frame, callee-2 0x8C08BB14 delegated with verified zero checked-window footprint; r0-r7/sr/fr3 forced from oracle)"
0x8c0930d4,ported,src/fight/fvectail.c,10,oracle-verified (RAM shadow diff),"fvectail_replay 64/64 PASS (624 pairs / 64 unique / 64 RAM cases, 1 stack window; r4/r15/fr15 from port, rest forced)"
0x8c0c7050,ported,src/fight/fcmpsel.c,52,oracle-verified (RAM shadow diff),"fcmpsel_replay 64/64 PASS (136 pairs / 64 unique / 64 RAM cases, 4 windows; flag paths P1/P2/P3 incl P2-nostore, fcmp operand order T=(Rn>Rm))"
